01_004_Comrade_S1_L001_R1	S101_L001_R1
43_109_N19019_S43_L004_R1	S143_L004_R1
43_109_N19019_S43_L004_R2	S143_L004_R2
44_110_N19020_S44_L001_R1	S144_L001_R1
44_110_N19020_S44_L001_R2	S144_L001_R2
44_110_N19020_S44_L002_R1	S144_L002_R1
44_110_N19020_S44_L002_R2	S144_L002_R2
44_110_N19020_S44_L003_R1	S144_L003_R1
44_110_N19020_S44_L003_R2	S144_L003_R2
44_110_N19020_S44_L004_R1	S144_L004_R1
44_110_N19020_S44_L004_R2	S144_L004_R2
45_111_N19021_S45_L001_R1	S145_L001_R1
45_111_N19021_S45_L001_R2	S145_L001_R2
45_111_N19021_S45_L002_R1	S145_L002_R1
45_111_N19021_S45_L002_R2	S145_L002_R2
45_111_N19021_S45_L003_R1	S145_L003_R1
45_111_N19021_S45_L003_R2	S145_L003_R2
45_111_N19021_S45_L004_R1	S145_L004_R1
45_111_N19021_S45_L004_R2	S145_L004_R2
46_112_N19022_S46_L001_R1	S146_L001_R1
46_112_N19022_S46_L001_R2	S146_L001_R2
46_112_N19022_S46_L002_R1	S146_L002_R1
46_112_N19022_S46_L002_R2	S146_L002_R2
46_112_N19022_S46_L003_R1	S146_L003_R1
46_112_N19022_S46_L003_R2	S146_L003_R2
46_112_N19022_S46_L004_R1	S146_L004_R1
46_112_N19022_S46_L004_R2	S146_L004_R2
47_133_N19043_S47_L001_R1	S147_L001_R1
47_133_N19043_S47_L001_R2	S147_L001_R2
47_133_N19043_S47_L002_R1	S147_L002_R1
47_133_N19043_S47_L002_R2	S147_L002_R2
47_133_N19043_S47_L003_R1	S147_L003_R1
47_133_N19043_S47_L003_R2	S147_L003_R2
47_133_N19043_S47_L004_R1	S147_L004_R1
47_133_N19043_S47_L004_R2	S147_L004_R2
48_135_N19045_S48_L001_R1	S148_L001_R1
48_135_N19045_S48_L001_R2	S148_L001_R2
48_135_N19045_S48_L002_R1	S148_L002_R1
48_135_N19045_S48_L002_R2	S148_L002_R2
48_135_N19045_S48_L003_R1	S148_L003_R1
48_135_N19045_S48_L003_R2	S148_L003_R2
48_135_N19045_S48_L004_R1	S148_L004_R1
48_135_N19045_S48_L004_R2	S148_L004_R2
49_137_N19047_S49_L001_R1	S149_L001_R1
49_137_N19047_S49_L001_R2	S149_L001_R2
49_137_N19047_S49_L002_R1	S149_L002_R1
49_137_N19047_S49_L002_R2	S149_L002_R2
49_137_N19047_S49_L003_R1	S149_L003_R1
49_137_N19047_S49_L003_R2	S149_L003_R2
49_137_N19047_S49_L004_R1	S149_L004_R1
49_137_N19047_S49_L004_R2	S149_L004_R2
50_138_N19048_S50_L001_R1	S150_L001_R1
50_138_N19048_S50_L001_R2	S150_L001_R2
50_138_N19048_S50_L002_R1	S150_L002_R1
50_138_N19048_S50_L002_R2	S150_L002_R2
50_138_N19048_S50_L003_R1	S150_L003_R1
50_138_N19048_S50_L003_R2	S150_L003_R2
50_138_N19048_S50_L004_R1	S150_L004_R1
50_138_N19048_S50_L004_R2	S150_L004_R2
51_139_N19049_S51_L001_R1	S151_L001_R1
51_139_N19049_S51_L001_R2	S151_L001_R2
51_139_N19049_S51_L002_R1	S151_L002_R1
51_139_N19049_S51_L002_R2	S151_L002_R2
51_139_N19049_S51_L003_R1	S151_L003_R1
51_139_N19049_S51_L003_R2	S151_L003_R2
51_139_N19049_S51_L004_R1	S151_L004_R1
51_139_N19049_S51_L004_R2	S151_L004_R2
52_140_N19050_S52_L001_R1	S152_L001_R1
52_140_N19050_S52_L001_R2	S152_L001_R2
52_140_N19050_S52_L002_R1	S152_L002_R1
52_140_N19050_S52_L002_R2	S152_L002_R2
52_140_N19050_S52_L003_R1	S152_L003_R1
52_140_N19050_S52_L003_R2	S152_L003_R2
52_140_N19050_S52_L004_R1	S152_L004_R1
52_140_N19050_S52_L004_R2	S152_L004_R2
53_141_N21001_S53_L001_R1	S153_L001_R1
53_141_N21001_S53_L001_R2	S153_L001_R2
53_141_N21001_S53_L002_R1	S153_L002_R1
53_141_N21001_S53_L002_R2	S153_L002_R2
53_141_N21001_S53_L003_R1	S153_L003_R1
53_141_N21001_S53_L003_R2	S153_L003_R2
53_141_N21001_S53_L004_R1	S153_L004_R1
53_141_N21001_S53_L004_R2	S153_L004_R2
54_143_N21003_S54_L001_R1	S154_L001_R1
54_143_N21003_S54_L001_R2	S154_L001_R2
54_143_N21003_S54_L002_R1	S154_L002_R1
54_143_N21003_S54_L002_R2	S154_L002_R2
54_143_N21003_S54_L003_R1	S154_L003_R1
54_143_N21003_S54_L003_R2	S154_L003_R2
54_143_N21003_S54_L004_R1	S154_L004_R1
54_143_N21003_S54_L004_R2	S154_L004_R2
55_144_N21004_S55_L001_R1	S155_L001_R1
55_144_N21004_S55_L001_R2	S155_L001_R2
55_144_N21004_S55_L002_R1	S155_L002_R1
55_144_N21004_S55_L002_R2	S155_L002_R2
55_144_N21004_S55_L003_R1	S155_L003_R1
55_144_N21004_S55_L003_R2	S155_L003_R2
55_144_N21004_S55_L004_R1	S155_L004_R1
55_144_N21004_S55_L004_R2	S155_L004_R2
56_146_N21006_S56_L001_R1	S156_L001_R1
56_146_N21006_S56_L001_R2	S156_L001_R2
56_146_N21006_S56_L002_R1	S156_L002_R1
56_146_N21006_S56_L002_R2	S156_L002_R2
56_146_N21006_S56_L003_R1	S156_L003_R1
56_146_N21006_S56_L003_R2	S156_L003_R2
56_146_N21006_S56_L004_R1	S156_L004_R1
56_146_N21006_S56_L004_R2	S156_L004_R2
57_147_N21007_S57_L001_R1	S157_L001_R1
57_147_N21007_S57_L001_R2	S157_L001_R2
57_147_N21007_S57_L002_R1	S157_L002_R1
57_147_N21007_S57_L002_R2	S157_L002_R2
57_147_N21007_S57_L003_R1	S157_L003_R1
57_147_N21007_S57_L003_R2	S157_L003_R2
57_147_N21007_S57_L004_R1	S157_L004_R1
57_147_N21007_S57_L004_R2	S157_L004_R2
58_148_N21008_S58_L001_R1	S158_L001_R1
58_148_N21008_S58_L001_R2	S158_L001_R2
58_148_N21008_S58_L002_R1	S158_L002_R1
58_148_N21008_S58_L002_R2	S158_L002_R2
58_148_N21008_S58_L003_R1	S158_L003_R1
58_148_N21008_S58_L003_R2	S158_L003_R2
58_148_N21008_S58_L004_R1	S158_L004_R1
58_148_N21008_S58_L004_R2	S158_L004_R2
59_149_N21009_S59_L001_R1	S159_L001_R1
59_149_N21009_S59_L001_R2	S159_L001_R2
59_149_N21009_S59_L002_R1	S159_L002_R1
59_149_N21009_S59_L002_R2	S159_L002_R2
59_149_N21009_S59_L003_R1	S159_L003_R1
59_149_N21009_S59_L003_R2	S159_L003_R2
59_149_N21009_S59_L004_R1	S159_L004_R1
59_149_N21009_S59_L004_R2	S159_L004_R2
60_151_N21011_S60_L001_R1	S160_L001_R1
60_151_N21011_S60_L001_R2	S160_L001_R2
60_151_N21011_S60_L002_R1	S160_L002_R1
60_151_N21011_S60_L002_R2	S160_L002_R2
60_151_N21011_S60_L003_R1	S160_L003_R1
60_151_N21011_S60_L003_R2	S160_L003_R2
60_151_N21011_S60_L004_R1	S160_L004_R1
60_151_N21011_S60_L004_R2	S160_L004_R2
61_154_N21014_S61_L001_R1	S161_L001_R1
61_154_N21014_S61_L001_R2	S161_L001_R2
61_154_N21014_S61_L002_R1	S161_L002_R1
61_154_N21014_S61_L002_R2	S161_L002_R2
61_154_N21014_S61_L003_R1	S161_L003_R1
61_154_N21014_S61_L003_R2	S161_L003_R2
61_154_N21014_S61_L004_R1	S161_L004_R1
61_154_N21014_S61_L004_R2	S161_L004_R2
62_156_N21016_S62_L001_R1	S162_L001_R1
62_156_N21016_S62_L001_R2	S162_L001_R2
62_156_N21016_S62_L002_R1	S162_L002_R1
62_156_N21016_S62_L002_R2	S162_L002_R2
62_156_N21016_S62_L003_R1	S162_L003_R1
62_156_N21016_S62_L003_R2	S162_L003_R2
62_156_N21016_S62_L004_R1	S162_L004_R1
62_156_N21016_S62_L004_R2	S162_L004_R2
63_157_N21017_S63_L001_R1	S163_L001_R1
63_157_N21017_S63_L001_R2	S163_L001_R2
63_157_N21017_S63_L002_R1	S163_L002_R1
63_157_N21017_S63_L002_R2	S163_L002_R2
63_157_N21017_S63_L003_R1	S163_L003_R1
63_157_N21017_S63_L003_R2	S163_L003_R2
63_157_N21017_S63_L004_R1	S163_L004_R1
63_157_N21017_S63_L004_R2	S163_L004_R2
64_159_N21019_S64_L001_R1	S164_L001_R1
64_159_N21019_S64_L001_R2	S164_L001_R2
64_159_N21019_S64_L002_R1	S164_L002_R1
64_159_N21019_S64_L002_R2	S164_L002_R2
64_159_N21019_S64_L003_R1	S164_L003_R1
64_159_N21019_S64_L003_R2	S164_L003_R2
64_159_N21019_S64_L004_R1	S164_L004_R1
64_159_N21019_S64_L004_R2	S164_L004_R2
65_160_N21020_S65_L001_R1	S165_L001_R1
65_160_N21020_S65_L001_R2	S165_L001_R2
65_160_N21020_S65_L002_R1	S165_L002_R1
65_160_N21020_S65_L002_R2	S165_L002_R2
65_160_N21020_S65_L003_R1	S165_L003_R1
65_160_N21020_S65_L003_R2	S165_L003_R2
65_160_N21020_S65_L004_R1	S165_L004_R1
65_160_N21020_S65_L004_R2	S165_L004_R2
66_161_N21021_S66_L001_R1	S166_L001_R1
66_161_N21021_S66_L001_R2	S166_L001_R2
66_161_N21021_S66_L002_R1	S166_L002_R1
66_161_N21021_S66_L002_R2	S166_L002_R2
66_161_N21021_S66_L003_R1	S166_L003_R1
66_161_N21021_S66_L003_R2	S166_L003_R2
66_161_N21021_S66_L004_R1	S166_L004_R1
66_161_N21021_S66_L004_R2	S166_L004_R2
67_162_N21022_S67_L001_R1	S167_L001_R1
67_162_N21022_S67_L001_R2	S167_L001_R2
67_162_N21022_S67_L002_R1	S167_L002_R1
67_162_N21022_S67_L002_R2	S167_L002_R2
67_162_N21022_S67_L003_R1	S167_L003_R1
